food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Pea mushroom curry (Matar mushroom),22.7,93.3,7.41,5.16,3.86,84.49,1.82,0.97,3.87,155.48,58.44,katori_based
Pea curry (Matar ki sabzi),24.48,102.99,9.2,5.11,4.44,107.74,1.98,1.2,4.51,154.75,77.64,katori_based
Pea vadi curry,23.62,101.95,8.9,5.08,4.28,109.24,1.92,1.2,4.64,149.51,77.64,katori_based
Paneer curry,189.06,176.52,8.4,12.38,1.4,95.56,6.29,0.81,7.8,216.09,20.04,katori_based
Lotus stem curry (Kamal kakdi curry),26.59,110.34,9.24,7.25,3.14,45.45,2.09,1.71,1.53,217.05,40.01,katori_based
Gravy for kofta,39.65,125.59,6.31,10.35,1.96,27.6,3.73,0.75,1.75,312.86,17.05,katori_based
Pea kofta curry (Matar kofta curry),13.84,595.66,4.17,63.39,1.7,129.13,0.88,0.56,2.01,83.07,74.66,katori_based
Spinach kofta curry (Palak kofta curry),29.31,571.78,3.56,61.49,0.92,250.89,0.82,0.83,1.09,104.51,64.05,katori_based
Paneer kofta curry,59.49,670.91,3.27,72.06,0.4,97.75,1.98,0.34,2.39,121.72,17.06,katori_based
Lotus stem kofta curry (Kamal kakdi kofta curry),19.31,633.56,5.01,67.76,1.01,57.76,0.88,0.65,0.96,108.61,38.6,katori_based
Raw banana kofta curry (Kela kofta curry),9.23,627.27,3.4,67.98,0.59,46.68,2.3,0.28,0.62,88.4,23.63,katori_based
Cauliflower kofta curry (Phoolgobhi kofta curry),12.26,641.1,2.62,69.62,1.0,89.51,0.83,0.4,1.04,93.65,53.98,katori_based
Cabbage kofta curry (Pattagobhi kofta curry),15.46,639.81,2.87,69.4,0.9,90.4,0.89,0.34,0.98,92.85,43.56,katori_based
Ghiya/Lauki Kofta Curry,11.64,638.71,2.71,69.4,0.83,87.12,0.82,0.33,0.89,91.43,21.87,katori_based
Spinach paneer kofta curry (Palak paneer kofta curry),37.71,606.03,2.94,65.41,0.75,197.93,1.16,0.68,1.43,99.37,47.34,katori_based
Vegetarian egg kofta curry,28.39,627.41,4.26,67.24,0.64,67.83,1.19,0.39,1.33,95.89,35.58,katori_based
Baked vegetables,80.2,88.99,8.44,4.44,2.34,77.19,2.56,0.62,3.67,124.7,47.05,piece_based
Cauliflower musallam (Phoolgobhi musallam),24.61,58.83,4.48,3.55,3.06,76.8,1.71,0.83,1.89,123.36,71.44,piece_based
Baked vegetables with spinach ,78.63,77.79,6.93,4.03,2.33,223.29,2.09,1.16,3.22,122.85,78.95,piece_based
Baked potato with skin ,90.06,135.77,11.11,8.5,1.2,9.99,1.66,0.5,3.43,354.5,11.88,piece_based
Shepherd's pie (vegetarian),85.59,135.63,12.03,7.3,2.23,90.43,2.78,0.76,5.04,118.2,51.68,piece_based
Baked brinjal in tomato sauce,26.24,38.63,4.13,1.62,2.34,103.99,2.2,0.32,1.58,79.66,68.38,piece_based
Dum aloo,16.49,682.33,3.33,74.01,0.68,34.41,0.71,0.36,0.7,183.85,29.39,piece_based
Spinach paneer (Palak paneer),113.25,77.68,4.43,4.76,1.91,267.05,2.55,1.85,4.03,166.87,60.21,piece_based
Methi chaman,60.57,475.62,2.78,50.91,0.53,141.85,1.79,0.63,1.54,54.94,63.26,piece_based
Sarson ka saag,134.41,87.84,5.33,5.86,3.69,128.42,0.75,2.43,3.0,165.45,59.58,piece_based
Jackfruit sabzi (Kathal ki sabzi),9.85,625.4,3.4,67.6,1.02,32.14,2.59,0.27,0.69,58.95,14.11,piece_based
Avial,31.9,124.56,8.47,8.94,5.44,108.12,3.83,1.01,2.46,81.5,94.64,piece_based
Al yakhani,103.88,147.54,4.65,13.14,1.27,60.75,3.56,0.46,2.86,206.24,5.41,piece_based
Shahi paneer,125.38,156.5,6.64,12.34,1.4,78.58,5.01,0.62,5.06,215.35,30.83,piece_based
Paneer in butter sauce,170.59,145.61,9.7,8.81,1.5,64.79,7.49,0.85,6.99,151.45,18.02,piece_based
Methi malai paneer,183.96,194.98,8.15,14.76,1.47,73.86,6.0,0.77,7.34,221.16,13.6,piece_based
Chilli paneer,42.9,777.51,3.31,84.01,0.5,28.7,1.5,0.36,2.1,89.04,4.87,piece_based
Paneer makhana korma,72.89,775.82,4.63,82.76,0.21,94.26,1.84,0.55,3.24,77.01,0.64,piece_based
Kadhai Paneer,91.53,107.99,7.34,6.81,2.07,117.12,5.54,0.65,4.33,144.33,85.83,piece_based
Roghan josh,112.33,139.59,4.93,9.02,2.08,36.34,2.66,1.77,9.56,204.31,12.41,piece_based
Spinach mutton (Palak mutton),96.88,80.32,3.45,4.71,2.23,391.34,1.42,2.38,5.74,121.1,88.11,piece_based
Pea keema curry (Matar keema ki sabzi),35.6,133.0,6.24,8.14,2.96,85.14,1.82,1.35,8.43,148.38,55.62,katori_based
Keema kofta curry,49.89,154.45,5.64,10.39,1.51,6.6,2.14,1.25,9.77,311.51,2.43,katori_based
Kashmiri mutton koftas (Gushtaba),52.53,97.42,3.04,6.77,0.62,22.46,2.13,0.85,6.33,130.11,3.22,piece_based
Mutton yakhni,88.61,104.13,0.84,7.7,0.67,6.51,0.13,1.66,8.27,101.02,0.09,piece_based
Chicken yakhni,28.24,99.0,0.78,6.1,0.62,13.24,0.12,0.93,10.66,97.38,0.09,piece_based
Mutton do piaza,118.61,183.3,4.14,14.41,1.93,67.3,2.9,1.63,9.39,118.62,7.42,piece_based
Mutton chops,36.18,663.64,1.48,71.31,0.17,16.68,0.42,0.64,4.03,51.03,3.75,piece_based
Shammi kebab,13.11,685.69,3.54,72.61,1.05,20.55,0.31,0.75,4.52,54.27,1.64,piece_based
Scotch egg,15.03,676.89,1.91,72.62,0.36,30.63,0.3,0.6,4.05,90.67,2.59,piece_based
Shepherd's pie (with minced meat),21.3,142.78,8.06,8.88,1.05,21.04,1.7,0.84,7.45,197.25,19.35,piece_based
Chicken curry,27.29,129.22,3.38,7.57,1.41,38.7,1.79,0.87,11.79,108.0,16.79,katori_based
Tandoori chicken,44.33,145.2,2.34,7.93,0.5,182.73,1.58,0.9,16.26,158.0,39.53,piece_based
Butter chicken,25.28,137.0,3.74,8.7,1.32,40.85,2.37,0.92,10.92,26.21,32.65,piece_based
Chicken kebab,3.46,729.41,1.11,78.89,0.21,3.83,0.24,0.28,3.71,69.76,0.41,piece_based
Chilli chicken,12.97,198.83,2.86,16.56,0.99,51.55,0.93,0.66,9.57,223.75,55.19,piece_based
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),16.09,125.03,2.51,7.61,1.13,17.41,1.16,0.64,11.48,107.56,10.78,piece_based
Fish curry (Machli curry),52.06,111.13,3.77,6.69,1.89,40.45,2.02,1.09,8.76,184.71,22.48,katori_based
Fried fish (Indian style) (Tali hui machli),11.11,658.54,5.4,68.88,0.61,35.19,0.4,0.56,4.35,156.94,7.22,piece_based
Fried fish and Chips (English Style) (Tali hui machli aur chips),6.56,651.75,2.77,69.69,0.29,31.65,0.17,0.26,3.36,72.73,22.16,piece_based
Tomato fish,6.46,489.79,3.18,51.91,0.72,76.88,1.35,0.24,2.39,91.47,75.09,piece_based
Baked fish with cheese sauce,115.64,113.96,4.06,7.02,0.08,29.36,3.22,0.26,8.64,209.48,9.97,piece_based
Fish tikka,31.98,117.33,3.91,4.15,1.18,4.62,1.18,1.41,16.0,503.44,0.9,piece_based
Tandoori fish,37.27,95.98,2.37,4.64,0.58,27.55,1.6,0.46,11.19,123.94,19.66,piece_based
"Paneer, apple and pineapple salad",103.05,95.08,8.35,5.07,1.65,67.13,6.36,0.84,3.88,176.63,25.3,bowl_based
Russian salad,34.92,114.83,6.5,7.84,2.57,104.32,1.66,1.23,4.26,101.09,49.56,bowl_based
Pasta salad,66.74,190.36,12.7,13.92,0.96,56.54,2.6,0.81,4.15,152.31,38.78,bowl_based
Deviled egg,36.84,98.56,2.23,7.72,1.15,48.39,0.82,1.51,4.97,117.29,18.42,piece_based
Hawain salad,61.03,175.23,14.35,11.37,3.93,123.62,5.24,1.12,4.27,64.92,51.75,bowl_based
Mixed pulse and vegetable salad,51.63,83.12,13.96,0.84,2.96,105.59,1.36,2.13,4.74,127.78,23.82,bowl_based
Sprouted moong salad ,54.56,37.81,5.48,0.74,0.95,49.76,2.13,1.45,2.29,116.38,27.84,bowl_based
Tossed salad,32.37,62.96,4.95,4.22,2.15,99.67,1.56,0.86,1.02,77.5,85.7,bowl_based
Mixed vegetable salad with curd sauce,65.51,60.28,7.03,1.5,3.79,86.34,2.16,1.35,4.23,116.66,37.73,bowl_based
Potato salad (Aloo ka salaad),25.61,89.91,11.19,4.4,1.32,52.72,3.94,0.99,1.4,125.01,58.78,bowl_based
Waldroff salad,29.29,141.75,11.02,10.05,1.87,40.62,8.23,1.07,1.47,13.42,21.43,bowl_based
Coleslaw,37.0,76.71,5.59,5.32,2.34,41.98,3.62,0.63,1.24,29.87,22.99,piece_based
Fruit salad (Phalon ka salaad),25.93,78.14,15.96,1.22,1.58,45.4,9.78,0.81,0.91,7.11,52.45,bowl_based
Tomato onion raita (Tamatar aur pyaaz ka raita),120.62,59.0,7.08,1.84,0.97,34.77,5.98,0.26,3.74,165.21,15.04,piece_based
Peanut raita (Mungfali ka raita),174.6,150.39,9.3,8.98,1.89,36.67,7.11,0.74,8.59,235.83,2.59,piece_based
Sprouted moong raita ,139.44,60.89,6.13,2.19,0.16,27.0,5.59,0.86,4.62,189.2,3.59,piece_based
Bottle gourd raita (Ghiya/Lauki ka raita),138.26,56.31,5.76,2.07,0.85,39.49,5.25,0.23,3.98,188.37,4.76,piece_based
Cucumber raita (Kheere ka raita),138.58,59.13,6.35,2.08,0.86,26.92,5.22,0.29,4.04,189.96,5.65,piece_based
Carrot and spinach raita (Gajar aur palak ka raita),142.57,56.83,5.83,1.99,1.39,95.51,4.93,1.04,4.0,180.79,19.29,piece_based
Mint raita (Pudinay ka raita),198.22,77.59,7.65,2.96,0.34,20.62,7.48,0.37,5.64,274.38,2.94,piece_based
Potato raita (Aloo ka raita),132.31,75.38,10.24,2.04,0.75,27.03,5.08,0.34,4.22,183.37,15.33,piece_based
Boondi raita,49.0,687.72,3.96,73.83,0.46,37.83,1.88,0.24,2.19,99.18,0.77,piece_based
Sweet raita (Meetha raita),108.91,99.24,17.93,1.78,1.02,24.9,15.36,0.21,3.24,42.98,5.2,piece_based
Dahi vadas/Dahi bhalla,49.03,667.73,5.49,70.4,0.97,18.3,1.78,0.49,2.96,79.0,0.57,piece_based
Gunjia,48.16,667.34,5.68,70.28,1.13,19.06,2.05,0.5,2.98,77.9,0.51,piece_based
Saunth/Sonth chutney with tamarind/imli,54.74,141.53,33.55,0.15,0.93,0.99,31.31,2.71,1.01,244.38,0.09,piece_based
Rice kheer (Chawal ki kheer),75.57,75.03,10.05,2.97,0.17,19.54,8.02,0.17,2.3,16.24,5.06,bowl_based
Makhana kheer,111.64,107.85,12.88,5.0,0.11,23.77,11.54,0.28,3.31,23.4,5.06,piece_based
Vermicelli kheer (Semiya/Seviyan ki kheer),104.8,120.07,15.87,5.0,0.5,16.29,12.79,0.3,3.35,22.52,4.06,piece_based
Semolina kheer (Suji/Rava kheer),105.99,113.21,15.88,4.2,0.51,17.54,12.88,0.34,3.43,22.66,4.06,piece_based
Paneer kheer,144.66,105.31,10.03,5.37,0.07,41.81,9.87,0.26,4.53,23.81,5.06,piece_based
Cabbage kheer (Pattagobhi ki kheer),102.74,83.51,9.73,3.8,0.51,33.51,9.28,0.24,2.87,22.67,17.36,piece_based
Carrot kheer (Gajar ki kheer),100.12,85.35,10.09,3.85,0.73,24.59,9.63,0.28,2.81,28.54,6.54,piece_based
Cauliflower kheer (Phoolgobhi ki kheer),101.75,81.95,8.78,3.95,0.55,36.87,8.49,0.3,3.04,25.19,23.92,piece_based
Moong dal kheer,75.66,77.16,9.89,2.97,0.4,32.3,7.92,0.28,2.95,16.34,5.06,katori_based
Phirni,104.57,116.12,16.11,4.34,0.36,20.33,10.79,0.23,3.49,22.47,5.04,piece_based
Semolina halwa (Suji ka halwa),11.77,225.65,24.67,13.38,1.86,7.96,13.98,0.65,2.16,1.28,0.05,piece_based
Shahi suji halwa,18.64,382.34,44.44,21.73,2.96,7.46,27.21,0.98,3.48,2.18,0.02,piece_based
Carrot halwa (Gajar ka halwa),106.94,172.64,18.53,9.73,2.65,44.8,16.85,0.76,3.11,39.96,6.53,piece_based
Egg halwa (Ande ka halwa),35.77,299.74,39.59,13.41,0.49,24.67,37.85,1.45,7.85,83.04,0.0,piece_based
Potato halwa (Aloo ka halwa),14.15,151.66,29.18,3.48,1.64,20.72,17.42,0.63,1.53,4.23,28.98,piece_based
Pumpkin halwa (Kaddu ka halwa),24.34,190.27,27.6,8.81,2.97,27.9,26.64,0.63,1.33,8.09,8.08,piece_based
Moong dal halwa,110.4,349.8,40.23,17.68,2.65,34.53,25.59,1.51,8.35,11.19,0.03,katori_based
Caramel custard (steamed),88.12,121.58,15.02,4.87,0.0,35.21,14.98,0.51,4.97,43.57,3.02,piece_based
Baked custard,95.32,106.53,9.45,5.3,0.0,35.21,9.42,0.54,5.41,47.13,3.02,piece_based
Soft Custard (stirred),95.82,109.18,11.19,5.07,0.0,37.31,11.15,0.49,5.01,122.17,3.62,piece_based
Chocolate ice cream,84.24,177.7,15.41,11.25,0.0,43.75,15.33,0.47,4.47,36.79,4.06,piece_based
Mango ice cream,67.17,125.69,11.14,7.62,0.52,142.26,11.01,0.39,3.4,29.13,44.98,piece_based
Fruit Ice cream (Phalon ka Ice cream),93.35,171.46,16.05,10.38,0.33,15.6,14.03,0.36,4.37,38.78,4.02,piece_based
Caramel ice cream,87.32,173.52,14.81,11.15,0.08,25.96,14.52,0.35,4.31,33.47,3.27,piece_based
Lemon souffle,59.81,168.51,13.43,10.02,0.0,32.11,11.67,0.56,6.95,50.73,12.9,piece_based
Orange souffle,59.04,168.28,14.2,9.73,0.22,37.93,12.31,0.65,6.8,49.22,19.16,piece_based
Vanilla souffle,70.6,187.85,14.78,11.19,0.0,30.71,12.86,0.58,7.71,56.73,1.3,piece_based
Chocolate souffle,71.55,189.32,14.74,11.36,0.0,31.85,12.69,0.71,7.88,56.07,1.3,piece_based
Pineapple souffle ,67.23,196.14,15.52,11.72,0.0,29.66,13.45,0.61,8.06,59.17,1.0,piece_based
Apple mousse,33.76,106.92,12.77,4.27,1.6,35.22,10.56,0.48,4.21,28.79,14.48,piece_based
Rich chocolate mousse,54.59,188.26,10.84,12.19,0.0,31.64,10.3,0.97,7.96,51.71,0.7,piece_based
Mango mousse,51.38,124.98,9.14,8.47,0.88,110.68,8.89,0.35,3.21,19.62,42.76,piece_based
Orange and pineapple cream,35.0,101.18,11.96,5.43,1.03,10.56,11.37,0.41,1.44,10.17,19.89,piece_based
Charlotte rousse,34.95,188.29,34.08,4.78,1.01,28.72,20.48,0.53,3.95,56.45,25.28,piece_based
Triffle pudding,48.72,116.97,18.24,3.93,0.12,28.71,13.89,0.47,2.93,26.95,19.31,piece_based
Snow flakes pudding,101.33,95.21,8.07,4.97,0.03,42.48,8.01,0.42,4.67,39.6,5.47,piece_based
Kulfi,111.86,98.43,11.3,4.7,0.12,18.69,10.39,0.2,3.21,23.97,5.04,piece_based
Steamed orange pudding,21.15,278.03,41.53,12.04,0.58,15.92,26.53,0.55,2.34,79.1,21.74,piece_based
Meringue and rice pudding,85.43,112.93,14.6,4.05,0.17,24.69,10.87,0.37,4.84,44.16,3.02,bowl_based
Cheese pudding,226.11,285.01,19.27,18.37,0.05,60.43,18.63,0.87,11.29,37.83,0.3,piece_based
Chocolate pudding,64.56,211.96,29.59,9.48,0.53,18.08,20.68,0.6,3.55,171.36,0.75,piece_based
Bread and butter pudding ,105.54,167.94,19.63,7.88,0.98,21.41,11.84,0.9,5.59,96.3,1.58,piece_based
Queen of pudding,78.26,132.92,16.35,5.38,0.27,46.64,11.77,0.53,5.51,85.59,8.11,piece_based
Pineapple upside down pudding,26.05,257.73,35.73,11.91,0.8,15.44,22.16,0.68,3.15,74.52,9.66,piece_based
Date and nut pie,34.69,322.42,46.86,13.31,4.13,32.22,31.18,1.54,3.93,3.87,6.39,piece_based
Stewed apple with custard,49.24,92.87,18.36,1.82,1.01,10.2,15.46,0.18,1.27,16.66,5.6,piece_based
Apple snowballs,9.43,101.51,24.58,0.31,1.25,4.64,19.4,0.18,0.86,12.8,4.46,piece_based
Hot orange souffle,53.81,179.97,18.77,8.95,0.29,30.66,14.93,1.03,6.87,58.8,7.01,piece_based
Hot chocolate souffle,60.19,226.09,26.21,11.1,0.12,30.6,22.88,1.08,6.7,54.11,0.9,piece_based
Hot vanilla souffle,63.2,192.93,21.77,9.07,0.13,28.8,18.17,0.93,6.87,59.59,0.9,piece_based
Plain burfi (Burfi),355.78,408.32,30.88,27.96,0.17,23.94,30.43,1.5,9.82,31.65,0.05,piece_based
Coconut burfi (Nariyal ki burfi),272.81,467.64,32.15,34.63,3.5,26.6,31.5,1.82,8.81,27.63,0.0,piece_based
Bottle gourd burfi (Ghiya/Lauki burfi),215.85,275.96,24.51,17.68,0.73,34.06,23.92,0.93,5.86,18.15,1.08,piece_based
Chocolate burfi,466.48,339.33,33.15,17.86,0.0,23.85,32.38,2.12,13.0,39.32,0.0,piece_based
Cashewnut burfi (Kaju burfi/Kaju katli),12.95,421.74,37.92,28.46,1.12,2.1,31.43,1.79,5.48,4.23,0.0,piece_based
Gram flour burfi (Besan burfi),160.71,421.79,46.59,22.41,3.41,32.38,28.44,1.47,11.19,13.02,0.0,piece_based
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),106.42,428.71,52.86,21.86,4.68,7.1,33.28,1.73,6.71,14.4,0.03,piece_based
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),26.72,464.43,50.9,27.03,6.69,5.21,27.32,1.83,5.68,9.06,0.05,piece_based
Gram flour ladoo (Besan ladoo),25.35,476.91,62.61,22.76,4.43,24.79,37.76,1.51,8.93,5.48,0.0,piece_based
Sesame ladoo (Til ke ladoo),631.82,396.96,43.5,19.64,7.72,18.17,38.63,8.94,10.7,18.55,0.0,piece_based
Chenna murki,266.85,252.69,36.01,8.2,0.0,46.65,35.55,0.55,10.46,11.4,0.0,piece_based
Milk cake,104.94,127.41,9.13,8.93,0.06,18.19,8.9,0.2,3.01,24.97,8.0,piece_based
Ghujia/Lavang latika,31.01,768.98,13.0,78.93,0.52,6.86,6.08,0.44,1.86,3.28,0.01,piece_based
Gulab Jamun with khoya,67.32,586.06,26.09,53.23,0.07,16.44,24.12,0.39,2.03,15.09,0.02,piece_based
Mal pua,30.05,566.68,17.56,54.64,0.62,5.3,11.77,0.33,1.71,6.35,0.67,piece_based
Shahi tukre,76.47,189.81,41.46,2.54,0.51,7.61,34.7,0.37,2.76,71.04,0.86,piece_based
Potato pakora/pakoda (Aloo pakoda),6.59,677.19,6.04,71.84,1.03,109.12,0.22,0.38,1.9,63.38,18.53,piece_based
Onion pakora/pakoda (Pyaaz ke pakode),7.95,674.61,5.41,71.84,1.11,119.81,0.88,0.36,1.9,63.55,5.36,piece_based
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),8.44,671.63,4.52,71.86,1.26,133.47,0.23,0.42,1.98,66.54,37.72,piece_based
Mixed vegetable pakora/pakoda,9.55,673.81,5.12,71.86,1.13,143.18,0.38,0.46,1.94,65.35,21.46,piece_based
Spinach pakora/pakoda (Palak pakoda),10.99,712.62,4.68,76.38,1.02,153.51,0.2,0.52,1.96,69.54,12.12,piece_based
Methi pakora/pakoda (Methi ke pakode),23.07,713.25,4.68,76.39,1.18,126.81,0.25,0.69,2.06,69.83,23.31,piece_based
Egg pakora/pakoda (Ande ke pakode),9.55,710.51,4.48,75.86,0.86,121.37,0.19,0.47,2.83,75.37,0.01,piece_based
Bread pakora/pakoda,19.83,710.99,8.87,74.2,1.11,114.11,0.46,0.46,2.57,101.49,0.01,piece_based
Paneer pakora/pakoda,43.38,718.12,5.52,76.05,0.89,143.43,1.08,0.43,3.27,131.7,0.07,piece_based
Potato bonda (Aloo bonda),6.79,632.84,4.53,67.8,0.83,16.02,0.27,0.37,1.09,132.53,8.96,piece_based
Potato samosa (Aloo ka samosa),7.63,577.39,9.21,59.19,1.19,12.8,0.29,0.5,1.71,77.1,11.27,piece_based
Minced meat samosa (Keema ka samosa),6.7,620.99,6.14,64.26,0.39,4.62,0.5,0.55,4.43,88.64,0.82,piece_based
Paneer and pea samosa (Paneer matar ka samosa),64.56,623.81,8.55,63.65,1.02,26.39,1.69,0.53,4.02,78.18,6.67,piece_based
Mathri,5.23,805.12,12.32,83.1,0.6,2.38,0.29,0.43,1.75,64.7,0.0,piece_based
Khasta kachori,7.84,712.73,12.81,72.27,0.97,6.38,0.34,0.59,2.51,90.56,0.86,piece_based
Vegetable cutlet,13.55,665.45,4.68,71.33,0.93,30.52,0.35,0.4,1.25,85.38,16.89,piece_based
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),9.17,701.71,7.39,73.89,0.86,23.98,0.27,0.59,1.76,76.65,12.63,bowl_based
Peanut cutlet (Mungfali ke cutlet),14.38,698.77,5.68,74.0,1.21,38.52,0.51,0.56,2.63,84.24,12.63,piece_based
Fish cutlet (Machli ka cutlet),10.44,654.64,3.13,70.11,0.54,19.06,0.29,0.36,2.77,75.33,10.46,piece_based
Paneer potato cutlet (Paneer aloo cutlet),45.36,672.94,5.23,71.4,0.41,41.52,1.02,0.38,2.47,85.71,11.61,piece_based
Spinach chickpeas cutlet (Palak channa dal cutlet),11.3,688.03,4.93,73.6,0.93,49.07,0.16,0.57,1.44,79.13,16.18,katori_based
Cheese toast,43.87,785.37,5.49,84.11,0.31,6.85,0.53,0.31,1.98,121.05,0.0,piece_based
Vegetable burger,26.08,519.93,13.69,50.63,1.7,40.96,1.88,0.7,3.26,168.97,24.68,piece_based
Cheese pizza,96.51,249.5,30.62,12.43,1.95,15.85,3.42,1.09,5.79,397.73,6.72,piece_based
Vegetable seekh kebab,32.66,690.73,5.32,73.72,0.59,13.84,0.74,0.36,1.57,83.67,6.86,piece_based
Masala vada,7.45,826.02,4.06,89.15,1.07,32.14,0.24,0.52,1.69,74.53,2.05,piece_based
Peanut sago vada (Sabudana mungfali vada),5.03,749.89,7.14,79.82,0.62,15.66,0.19,0.38,1.01,71.29,9.74,piece_based
Vegeterian scotch egg,15.2,681.67,4.64,72.77,0.58,32.4,0.23,0.46,2.16,93.33,12.53,piece_based
Paneer shaslik/tikka,123.86,93.85,7.98,4.49,1.23,174.74,4.61,0.68,5.11,103.39,107.71,piece_based
Peanut brittle (Moongfali ki chikki),68.03,320.46,47.46,11.13,2.63,7.48,43.92,3.22,6.94,15.99,0.0,piece_based
Spring roll,9.51,623.87,8.56,64.63,0.67,9.59,0.6,0.49,1.81,132.84,4.59,piece_based
Dry mango chutney (Sookhe aam ki chutney),72.05,298.13,69.17,0.7,3.74,5.17,61.86,3.98,2.43,437.91,0.25,piece_based
Peanut chutney (Mungfali ki chutney),34.79,258.37,9.87,19.06,5.73,10.14,2.76,1.99,11.8,475.34,4.2,piece_based
Coconut chutney (Nariyal ki chutney),15.7,265.92,8.29,25.0,6.73,4.74,3.79,1.25,3.59,428.28,4.13,piece_based
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),107.45,102.6,21.18,0.51,4.33,10.89,15.88,4.76,2.81,391.66,3.62,piece_based
Custard tart,57.47,225.6,28.66,10.73,0.91,5.64,9.31,0.49,3.72,59.74,1.18,piece_based
Lemon tart,24.03,303.35,30.68,17.45,0.81,9.19,10.68,0.98,6.12,76.09,2.66,piece_based
Jam tart,12.23,360.72,46.18,17.35,1.14,2.44,14.74,0.74,4.42,70.34,0.0,piece_based
Orange cream tart,13.84,197.16,27.43,8.72,0.64,13.7,10.08,0.58,2.58,36.85,19.6,piece_based
Pineapple tart,12.02,195.4,28.62,8.21,0.87,6.84,11.09,0.5,2.29,37.88,6.85,piece_based
Cheese and mushroom tart,100.97,246.1,21.43,15.28,1.18,7.96,3.16,0.59,5.51,212.42,6.53,piece_based
Cottage cheese pie,108.05,238.98,20.66,13.83,2.21,124.39,3.62,0.92,7.45,103.29,36.25,piece_based
Minced meat pie,18.14,221.55,18.11,13.04,2.33,69.49,1.42,1.07,7.38,127.85,37.52,piece_based
Apple cinnamon pie,16.14,258.73,33.68,12.21,1.77,11.58,11.95,0.65,3.35,60.14,2.24,piece_based
Lemon meringue pie,16.79,224.43,35.11,8.16,0.44,17.48,21.17,0.67,3.88,85.12,5.1,piece_based
Chocolate meringue pie,55.98,214.76,28.8,9.17,0.37,23.21,15.03,0.92,4.98,80.77,1.26,piece_based
Cream puffs,37.93,221.33,16.0,15.48,0.38,8.79,5.94,0.58,4.7,98.76,0.2,piece_based
Chocolate eclairs,34.21,239.42,26.22,13.5,0.33,18.34,17.34,0.68,4.24,85.88,0.4,piece_based
Cheese balls,30.01,681.28,4.81,72.57,0.18,2.95,0.63,0.32,2.21,120.7,0.01,piece_based
Minced meat patties,19.23,265.72,15.25,19.57,0.77,16.37,0.88,0.93,6.88,252.18,1.58,piece_based
Cheese patties,126.41,324.01,22.23,22.67,1.24,31.43,3.93,0.82,7.38,295.22,3.37,piece_based
Hot cheese souffle,169.17,177.1,5.41,13.23,0.12,66.94,2.91,0.83,9.18,286.96,2.41,piece_based
Hot potato souffle,56.84,125.64,8.56,7.64,0.66,78.05,1.78,0.79,5.51,97.2,30.19,piece_based
Hot fish souffle,58.18,142.92,3.69,9.24,0.1,70.97,1.68,0.7,11.23,110.94,2.41,piece_based
Hot spinach souffle,80.77,104.25,4.19,7.24,0.99,272.44,1.64,1.67,5.43,104.69,47.83,piece_based
Plain cream cake,41.95,353.94,47.18,16.17,0.71,8.66,27.74,1.02,6.18,174.0,0.08,piece_based
Apple cake (Seb ka cake),38.99,290.08,39.48,12.87,1.22,9.32,23.52,0.9,4.94,136.95,1.16,piece_based
Marble cake,39.6,354.11,46.88,16.27,0.71,8.85,27.56,1.12,6.3,138.48,0.08,piece_based
Chocolate cake,41.13,335.61,45.14,15.18,0.64,9.21,27.58,1.08,6.01,241.93,0.15,piece_based
Orange cake,29.72,357.61,48.28,16.21,0.83,9.25,28.38,1.06,6.1,105.41,1.88,piece_based
Fruit Loaf ,45.71,324.19,46.49,13.31,0.87,7.82,24.54,0.96,5.36,160.6,2.47,piece_based
Banana cake (Kele ka cake),23.55,389.51,40.0,23.31,1.14,11.33,23.04,1.14,5.77,117.81,0.98,piece_based
Chocolate chiffon cake,42.15,311.71,37.87,15.8,0.7,12.0,24.25,1.07,5.76,188.59,0.21,piece_based
Christmas cake,40.98,372.95,48.29,16.88,1.49,17.06,27.45,1.32,5.49,64.84,8.51,piece_based
Strawberry and vanilla cake with butter icing,28.17,370.54,44.25,20.39,0.79,12.8,32.43,0.7,3.89,107.27,8.4,piece_based
Eggless cake,212.97,318.08,46.14,11.75,0.68,7.58,27.7,0.61,8.12,310.5,1.35,piece_based
Swiss roll,24.11,251.87,48.34,3.77,0.55,14.36,32.96,1.19,7.3,51.9,0.0,piece_based
Pineapple pastry ,42.97,208.21,29.04,7.87,0.72,17.42,18.83,0.86,6.06,44.3,3.64,piece_based
Black forest pastry,44.15,233.55,34.48,8.46,0.54,16.28,21.35,0.92,6.09,53.43,0.91,piece_based
Coconut finger,24.04,274.86,42.56,8.86,1.87,15.88,28.55,1.31,7.09,46.86,0.0,piece_based
Pineapple cake ,49.06,195.57,23.51,9.34,0.76,80.64,16.16,0.64,5.01,37.47,27.35,piece_based
